,Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
108,中,3,高橋　周平,.500,4,17,16,8,0,2,0,1,0,3,0,0,.688,.529,1.217,16.66,14.38
109,中,4,藤井　淳志,.250,4,17,16,4,0,0,0,1,0,4,0,0,.250,.294,.544,2.71,2.77
110,中,6,平田　良介,.308,3,14,13,4,0,0,0,1,0,1,0,0,.308,.357,.665,4.69,4.56
111,中,00,エルナンデス,.100,4,12,10,1,0,1,0,2,0,4,0,0,.100,.250,.350,0.64,1.02
112,中,40,桂　依央利,.429,2,8,7,3,0,1,0,0,0,1,1,0,.429,.429,.857,6.91,6.32
113,中,2,荒木　雅博,.000,2,8,7,0,0,0,0,0,0,1,1,0,.000,.000,.000,-2.25,-2.03
114,中,45,杉山　翔大,.500,2,7,6,3,0,1,0,1,0,1,0,1,.667,.571,1.238,11.00,9.52
115,中,60,ナニータ,.200,3,5,5,1,0,2,0,0,0,3,0,0,.400,.200,.600,2.60,2.30
116,中,69,赤坂　和幸,.000,3,3,3,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
117,中,63,堂上　直倫,.000,2,2,2,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
118,中,26,井領　雅貴,.000,2,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57
119,中,53,亀澤　恭平,.000,1,1,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.92,-2.70
120,中,62,工藤　隆人,.000,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
121,中,52,武山　真吾,.000,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
122,中,7,森野　将彦,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
